PARTICIPANT	STIMULUS	RATING_LIT	RATING_MOTION	SENTENCE	CONDITION	VERB	FREQ.ABS.BNC	FREQ.ABS.BNC.LOG2	QUESTNNR	SEX	AGE	MUSIC.EDU	EDU	LGE.EN	LING.EDU
506	LM01_53	3	2	A four-mile path meanders round the lake.	fictive	meander	172	8	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_20	1	1	The oboe part races up and down the scale.	music	race	3553	12	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_62	1	1	The melodic line tumbles down.	music	tumble	836	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_05	3	3	The two studies arrive at very different conclusions.	metaphorical	arrive	13595	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_60	5	5	Susan tumbled down the stairs.	literal	tumble	836	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_08	3	3	The mountain pass ascends.	fictive	ascend	327	9	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_44	5	5	We sometimes pass each other in the street.	literal	pass	19677	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_35	3	2	Our lives returned to normal.	metaphorical	return	21700	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_07	5	5	Carl arrived at the concert Hall.	literal	arrive	13595	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_28	1	1	The land rises from the sea.	fictive	rise	14931	13	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_46	3	3	The number of unemployed has passed the two million mark.	metaphorical	pass	19677	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_14	3	4	The debate descended into chaos.	metaphorical	descend	1666	11	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_55	1	2	The movie''s plot meanders on and on.'	metaphorical	meander	172	8	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_34	5	5	The cellist returned from Paris.	literal	return	21700	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_56	5	5	The workers crawled through the tunnel.	literal	crawl	1071	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_39	3	3	Tom''s parents reached an agreement.'	metaphorical	reach	22351	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_37	2	3	The road reaches a plateau.	fictive	reach	22351	14	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_50	3	2	Sally leads an exciting life.	metaphorical	lead	32588	15	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_52	5	5	Visitors can meander through 100000 square feet of exhibition space.	literal	meander	172	8	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_13	5	5	The musicians descended to the stage.	literal	descend	1666	11	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_10	5	5	The solo violinist ascended the podium.	literal	ascend	327	9	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_58	1	1	The string theme crawls upward.	music	crawl	1071	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_63	2	1	Oil prices tumbled to their lowest level.	metaphorical	tumble	836	10	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_31	2	3	The melody rises from C to D.	music	rise	14931	13	literalnessAmTurk	male	39	2	BA	yes	1
506	LM01_22	1	1	The bypass races around the city.	fictive	race	3553	12	literalnessAmTurk	male	39	2	BA	yes	1
507	LM01_36	5	1	The saxophone motif returns.	music	return	21700	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_03	1	1	The road arrives at an intersection.	fictive	arrive	13595	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_20	1	1	The oboe part races up and down the scale.	music	race	3553	12	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_21	1	1	The economy is racing towards another crisis.	metaphorical	race	3553	12	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_15	4	1	The melodic figure descends.	music	descend	1666	11	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_50	3	1	Sally leads an exciting life.	metaphorical	lead	32588	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_48	4	1	A dirt track leads through the woods.	fictive	lead	32588	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_62	1	1	The melodic line tumbles down.	music	tumble	836	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_18	5	1	The first violin enters with a folkish melody.	music	enter	13904	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_43	4	1	The railway line passes through Darlington Newcastle and Berwick.	fictive	pass	19677	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_35	1	1	Our lives returned to normal.	metaphorical	return	21700	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_56	1	5	The workers crawled through the tunnel.	literal	crawl	1071	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_54	2	1	The flute line meanders through various keys.	music	meander	172	8	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_31	4	1	The melody rises from C to D.	music	rise	14931	13	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_22	1	1	The bypass races around the city.	fictive	race	3553	12	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_46	4	1	The number of unemployed has passed the two million mark.	metaphorical	pass	19677	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_32	5	5	The soprano rose from her chair.	literal	rise	14931	13	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_37	5	1	The road reaches a plateau.	fictive	reach	22351	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_17	5	5	The soloist entered through the back door.	literal	enter	13904	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_23	1	5	Ann raced to her piano recital.	literal	race	3553	12	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_41	4	1	The melody reaches a climax.	music	reach	22351	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_59	1	1	The weeks crawled by.	metaphorical	crawl	1071	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_07	5	5	Carl arrived at the concert Hall.	literal	arrive	13595	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_49	5	5	The tour guide led us down the hill.	literal	lead	32588	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_10	5	5	The solo violinist ascended the podium.	literal	ascend	327	9	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_63	1	1	Oil prices tumbled to their lowest level.	metaphorical	tumble	836	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_53	5	1	A four-mile path meanders round the lake.	fictive	meander	172	8	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_13	4	5	The musicians descended to the stage.	literal	descend	1666	11	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_28	1	1	The land rises from the sea.	fictive	rise	14931	13	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_19	2	1	We are entering a new era.	metaphorical	enter	13904	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_44	5	5	We sometimes pass each other in the street.	literal	pass	19677	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_58	1	1	The string theme crawls upward.	music	crawl	1071	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_33	5	1	The road returns north along the west bank.	fictive	return	21700	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_57	1	1	The path crawls northwest to the mountains.	fictive	crawl	1071	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_47	2	1	The music passes through minor keys.	music	pass	19677	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_14	2	1	The debate descended into chaos.	metaphorical	descend	1666	11	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_61	1	1	The road tumbles down through the woods.	fictive	tumble	836	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_08	3	1	The mountain pass ascends.	fictive	ascend	327	9	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_06	1	1	The music arrives at the final chord.	music	arrive	13595	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_42	5	5	The conductor reached the concert venue.	literal	reach	22351	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_34	5	1	The cellist returned from Paris.	literal	return	21700	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_12	3	1	The path descends into the valley.	fictive	descend	1666	11	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_16	2	1	The road enters the rocky canyon.	fictive	enter	13904	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_51	4	1	The introduction of the symphony leads to the next part.	music	lead	32588	15	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_09	5	1	The bass line ascends.	music	ascend	327	9	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_29	4	1	Unemployment rises every year.	metaphorical	rise	14931	13	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_60	1	5	Susan tumbled down the stairs.	literal	tumble	836	10	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_39	1	1	Tom''s parents reached an agreement.'	metaphorical	reach	22351	14	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_52	5	5	Visitors can meander through 100000 square feet of exhibition space.	literal	meander	172	8	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_55	3	1	The movie''s plot meanders on and on.'	metaphorical	meander	172	8	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_11	5	1	Only a few women have ascended the professional hierarchy.	metaphorical	ascend	327	9	literalnessAmTurk	female	29	1	BA	yes	1
507	LM01_05	1	1	The two studies arrive at very different conclusions.	metaphorical	arrive	13595	14	literalnessAmTurk	female	29	1	BA	yes	1
509	LM01_05	2	1	The two studies arrive at very different conclusions.	metaphorical	arrive	13595	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_56	5	5	The workers crawled through the tunnel.	literal	crawl	1071	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_47	1	1	The music passes through minor keys.	music	pass	19677	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_58	1	1	The string theme crawls upward.	music	crawl	1071	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_06	2	1	The music arrives at the final chord.	music	arrive	13595	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_44	5	5	We sometimes pass each other in the street.	literal	pass	19677	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_34	5	5	The cellist returned from Paris.	literal	return	21700	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_13	4	5	The musicians descended to the stage.	literal	descend	1666	11	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_11	1	1	Only a few women have ascended the professional hierarchy.	metaphorical	ascend	327	9	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_23	1	5	Ann raced to her piano recital.	literal	race	3553	12	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_09	4	1	The bass line ascends.	music	ascend	327	9	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_10	3	5	The solo violinist ascended the podium.	literal	ascend	327	9	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_63	1	1	Oil prices tumbled to their lowest level.	metaphorical	tumble	836	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_29	4	1	Unemployment rises every year.	metaphorical	rise	14931	13	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_17	5	5	The soloist entered through the back door.	literal	enter	13904	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_12	5	1	The path descends into the valley.	fictive	descend	1666	11	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_22	1	3	The bypass races around the city.	fictive	race	3553	12	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_42	2	5	The conductor reached the concert venue.	literal	reach	22351	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_55	3	1	The movie''s plot meanders on and on.'	metaphorical	meander	172	8	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_07	5	5	Carl arrived at the concert Hall.	literal	arrive	13595	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_33	1	1	The road returns north along the west bank.	fictive	return	21700	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_36	3	1	The saxophone motif returns.	music	return	21700	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_51	3	1	The introduction of the symphony leads to the next part.	music	lead	32588	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_61	1	1	The road tumbles down through the woods.	fictive	tumble	836	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_54	2	1	The flute line meanders through various keys.	music	meander	172	8	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_57	1	1	The path crawls northwest to the mountains.	fictive	crawl	1071	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_20	1	1	The oboe part races up and down the scale.	music	race	3553	12	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_53	4	1	A four-mile path meanders round the lake.	fictive	meander	172	8	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_52	5	1	Visitors can meander through 100000 square feet of exhibition space.	literal	meander	172	8	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_43	4	1	The railway line passes through Darlington Newcastle and Berwick.	fictive	pass	19677	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_16	4	1	The road enters the rocky canyon.	fictive	enter	13904	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_35	3	1	Our lives returned to normal.	metaphorical	return	21700	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_19	4	1	We are entering a new era.	metaphorical	enter	13904	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_32	5	1	The soprano rose from her chair.	literal	rise	14931	13	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_37	3	1	The road reaches a plateau.	fictive	reach	22351	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_18	2	1	The first violin enters with a folkish melody.	music	enter	13904	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_62	1	1	The melodic line tumbles down.	music	tumble	836	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_31	3	1	The melody rises from C to D.	music	rise	14931	13	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_46	4	1	The number of unemployed has passed the two million mark.	metaphorical	pass	19677	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_60	5	5	Susan tumbled down the stairs.	literal	tumble	836	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_28	5	4	The land rises from the sea.	fictive	rise	14931	13	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_03	3	1	The road arrives at an intersection.	fictive	arrive	13595	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_59	1	1	The weeks crawled by.	metaphorical	crawl	1071	10	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_49	5	5	The tour guide led us down the hill.	literal	lead	32588	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_39	2	1	Tom''s parents reached an agreement.'	metaphorical	reach	22351	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_15	4	4	The melodic figure descends.	music	descend	1666	11	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_50	1	1	Sally leads an exciting life.	metaphorical	lead	32588	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_41	3	1	The melody reaches a climax.	music	reach	22351	14	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_14	1	1	The debate descended into chaos.	metaphorical	descend	1666	11	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_48	2	1	A dirt track leads through the woods.	fictive	lead	32588	15	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_08	4	1	The mountain pass ascends.	fictive	ascend	327	9	literalnessAmTurk	male	29	1	school certificate	yes	1
509	LM01_21	1	1	The economy is racing towards another crisis.	metaphorical	race	3553	12	literalnessAmTurk	male	29	1	school certificate	yes	1
510	LM01_28	2	1	The land rises from the sea.	fictive	rise	14931	13	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_08	5	1	The mountain pass ascends.	fictive	ascend	327	9	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_12	4	1	The path descends into the valley.	fictive	descend	1666	11	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_13	4	5	The musicians descended to the stage.	literal	descend	1666	11	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_55	1	1	The movie''s plot meanders on and on.'	metaphorical	meander	172	8	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_49	5	1	The tour guide led us down the hill.	literal	lead	32588	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_42	5	5	The conductor reached the concert venue.	literal	reach	22351	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_35	4	5	Our lives returned to normal.	metaphorical	return	21700	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_10	3	5	The solo violinist ascended the podium.	literal	ascend	327	9	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_58	1	1	The string theme crawls upward.	music	crawl	1071	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_44	4	5	We sometimes pass each other in the street.	literal	pass	19677	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_32	5	1	The soprano rose from her chair.	literal	rise	14931	13	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_59	1	4	The weeks crawled by.	metaphorical	crawl	1071	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_50	2	5	Sally leads an exciting life.	metaphorical	lead	32588	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_19	4	5	We are entering a new era.	metaphorical	enter	13904	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_23	5	5	Ann raced to her piano recital.	literal	race	3553	12	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_52	4	5	Visitors can meander through 100000 square feet of exhibition space.	literal	meander	172	8	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_15	1	1	The melodic figure descends.	music	descend	1666	11	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_34	5	5	The cellist returned from Paris.	literal	return	21700	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_05	1	1	The two studies arrive at very different conclusions.	metaphorical	arrive	13595	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_56	5	5	The workers crawled through the tunnel.	literal	crawl	1071	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_60	5	5	Susan tumbled down the stairs.	literal	tumble	836	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_17	5	1	The soloist entered through the back door.	literal	enter	13904	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_29	1	1	Unemployment rises every year.	metaphorical	rise	14931	13	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_37	5	4	The road reaches a plateau.	fictive	reach	22351	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_22	1	1	The bypass races around the city.	fictive	race	3553	12	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_53	1	1	A four-mile path meanders round the lake.	fictive	meander	172	8	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_06	1	1	The music arrives at the final chord.	music	arrive	13595	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_09	2	1	The bass line ascends.	music	ascend	327	9	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_36	2	1	The saxophone motif returns.	music	return	21700	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_14	4	1	The debate descended into chaos.	metaphorical	descend	1666	11	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_39	5	5	Tom''s parents reached an agreement.'	metaphorical	reach	22351	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_47	2	1	The music passes through minor keys.	music	pass	19677	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_43	3	1	The railway line passes through Darlington Newcastle and Berwick.	fictive	pass	19677	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_62	1	1	The melodic line tumbles down.	music	tumble	836	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_57	4	1	The path crawls northwest to the mountains.	fictive	crawl	1071	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_07	5	5	Carl arrived at the concert Hall.	literal	arrive	13595	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_18	1	1	The first violin enters with a folkish melody.	music	enter	13904	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_03	2	5	The road arrives at an intersection.	fictive	arrive	13595	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_54	1	1	The flute line meanders through various keys.	music	meander	172	8	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_63	1	1	Oil prices tumbled to their lowest level.	metaphorical	tumble	836	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_41	5	1	The melody reaches a climax.	music	reach	22351	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_11	3	5	Only a few women have ascended the professional hierarchy.	metaphorical	ascend	327	9	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_16	2	1	The road enters the rocky canyon.	fictive	enter	13904	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_61	1	1	The road tumbles down through the woods.	fictive	tumble	836	10	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_20	1	1	The oboe part races up and down the scale.	music	race	3553	12	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_33	3	1	The road returns north along the west bank.	fictive	return	21700	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_21	1	1	The economy is racing towards another crisis.	metaphorical	race	3553	12	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_51	4	1	The introduction of the symphony leads to the next part.	music	lead	32588	15	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_31	1	1	The melody rises from C to D.	music	rise	14931	13	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_46	3	5	The number of unemployed has passed the two million mark.	metaphorical	pass	19677	14	literalnessAmTurk	female	36	2	BA	yes	2
510	LM01_48	3	1	A dirt track leads through the woods.	fictive	lead	32588	15	literalnessAmTurk	female	36	2	BA	yes	2
512	LM01_44	5	5	We sometimes pass each other in the street.	literal	pass	19677	14	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_49	5	5	The tour guide led us down the hill.	literal	lead	32588	15	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_53	1	2	A four-mile path meanders round the lake.	fictive	meander	172	8	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_20	1	1	The oboe part races up and down the scale.	music	race	3553	12	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_10	5	5	The solo violinist ascended the podium.	literal	ascend	327	9	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_57	1	2	The path crawls northwest to the mountains.	fictive	crawl	1071	10	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_08	5	1	The mountain pass ascends.	fictive	ascend	327	9	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_11	5	2	Only a few women have ascended the professional hierarchy.	metaphorical	ascend	327	9	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_36	4	1	The saxophone motif returns.	music	return	21700	15	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_37	5	2	The road reaches a plateau.	fictive	reach	22351	14	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_09	2	1	The bass line ascends.	music	ascend	327	9	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_46	5	1	The number of unemployed has passed the two million mark.	metaphorical	pass	19677	14	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_58	3	1	The string theme crawls upward.	music	crawl	1071	10	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_59	1	1	The weeks crawled by.	metaphorical	crawl	1071	10	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_05	3	1	The two studies arrive at very different conclusions.	metaphorical	arrive	13595	14	literalnessAmTurk	female	36	3	BA	yes	1
512	LM01_19	4	1	We are entering a new era.	metaphorical	enter	13904	14	literalnessAmTurk	female	36	3	BA	yes	1
